borrowernumber,module_bit,code
20321,1,override_renewals
20321,1,circulate_remaining_permissions
29120,1,circulate_remaining_permissions
29125,1,circulate_remaining_permissions
29127,9,edit_catalogue
29127,9,edit_items
29879,1,override_renewals
40423,1,circulate_remaining_permissions
41008,15,edit_subscription
41008,15,check_expiration
41008,15,claim_serials
41008,15,routing
41008,15,receive_serials
52127,13,moderate_tags
52127,13,edit_calendar
52127,13,edit_news
52127,13,edit_notice_status_triggers
52127,13,export_catalog
52127,13,batch_upload_patron_images
52127,13,import_patrons
52127,13,schedule_tasks
52127,13,stage_marc_import
52127,13,view_system_logs
52127,13,rotating_collections
52127,13,moderate_comments
52127,13,manage_staged_marc
52127,13,manage_csv_profiles
52127,13,label_creator
52127,13,items_batchmod
52127,13,items_batchdel
52127,13,inventory
64816,13,inventory
64816,13,export_catalog
64816,13,edit_notices
64816,13,edit_notice_status_triggers
64816,13,edit_news
64816,13,items_batchmod
64816,13,label_creator
64816,13,manage_csv_profiles
64816,13,moderate_comments
64816,13,view_system_logs
64816,13,moderate_tags
64816,13,rotating_collections
64816,13,schedule_tasks
64816,13,stage_marc_import
64816,13,batch_upload_patron_images
64816,6,place_holds
64816,13,import_patrons
64816,13,manage_staged_marc
67679,13,batch_upload_patron_images
71132,13,batch_upload_patron_images
73624,13,batch_upload_patron_images
78057,13,batch_upload_patron_images
78934,13,batch_upload_patron_images
79490,13,batch_upload_patron_images
81584,13,batch_upload_patron_images
82641,13,batch_upload_patron_images
83557,6,place_holds
87586,6,modify_holds_priority
106431,13,manage_csv_profiles
106431,15,claim_serials
106431,13,delete_anonymize_patrons
106431,13,label_creator
106431,13,batch_upload_patron_images
106431,15,receive_serials
106431,9,edit_catalogue
106431,9,edit_items
106431,13,moderate_comments
106431,15,check_expiration
106444,15,receive_serials
106444,15,renew_subscription
106444,9,edit_catalogue
106444,15,edit_subscription
106444,15,delete_subscription
106444,15,create_subscription
106444,9,edit_items
106444,15,claim_serials
106444,6,place_holds
106444,15,check_expiration
112731,13,delete_anonymize_patrons
112731,13,manage_csv_profiles
112731,13,moderate_comments
112731,13,label_creator
112731,13,batch_upload_patron_images
112733,15,receive_serials
