cardnumber,borrowernumber,flags
ABL009402,20321,2096893
AHD000191,22214,1
BBL13613,29117,4
BBL13614,29118,1
ABL007508,29119,1751
BBL13616,29120,114428
BBL13619,29123,66774
BBL13621,29125,73876
BBL13623,29127,91382
ABL001571,29129,1048319
AHD01892,29879,0
AHD003021,33332,128
AHD012261,40035,2
AHD010830,40423,0
admin,41003,1572606
admin2,41004,261887
MHD90017,41005,261887
MHD90011,41008,710
staffadmin,49186,1
chandigarhadmin,49187,1572606
alakshita,52127,247550
MHD90012,53236,130815
ABL000107,53241,1
MHD90015,53242,261887
BCL12345,53391,1
ACB004436,64816,1694
ACB020542,67679,1174
ACB024608,70797,130814
ACB018501,71132,1174
ACB024545,72030,1238
ACB019373,72320,1238
ACB023585,73624,1174
ACB020443,78057,1174
ACB020779,78934,1174
ACB019602,79490,1174
ACB017981,81584,1174
ACB018486,82436,114398
ACB019467,82641,1174
AKD005464,83557,9886
AKD005341,87586,75454
ACB001804,92181,130806
VEN0001,92224,1835009
APN005055,106431,1238
APN010543,106444,1174
APN000006,112731,362198
APN000008,112733,67286
APN000012,112737,66774
APN000017,112742,1174
APN000018,112743,1174
APN000020,112745,1174
VEN0010,118716,1238
TEST123456,118864,1
ECL79691,122964,65556
ACL021537,132708,66262
ACL006372,140085,65536
ECL66666,140088,66710
ACL015089,144202,75286
MCL36023,144261,67796
MCL61360,144281,67286
MCL61384,144291,110302
MCL61421,144297,75990
MCL61448,144308,261886
MAH90024,164018,131206
adminAH,167932,2096894
ACL009181,168032,65686
ABL000600,168480,1
ABL000633,168665,208607
ABL000635,168667,261879
TEST123457,169407,1
BDL000001,169410,1
AAH000181,169615,255702
AAH000185,169619,239318
AAH000188,169621,238838
VEN000002,170347,2039487
AAH003190,171588,231158
ACB012004,172099,0
ACB012321,172115,18078
AMA002354,187550,132343
AMA56087,187586,1750
AMA57204,187607,261887
AMA002697,187614,131105
AMA019360,187615,1215
AMA010905,187623,1238
AMA016871,187635,223
AMA005485,187655,3798
AMA65707,187661,131133
AMA008398,187672,233207
AMA66637,187676,261887
AAH000418,196476,247542
ABL001248,205901,75477
NUC1868,206332,1572865
APN001590,208057,1174
APN001591,208058,1174
APN001592,208059,1174
AMA010767,208737,1174
AMA001042,208738,1174
BDL000004,209074,130814
ADL74620,212812,524030
ADL003389,212930,1909974
ADL014597,213139,1115351
ADL014876,214054,67286
ADL010968,214801,66774
ADL76863,214868,107734
ADL004535,219157,1238
ADL004582,219176,1238
ADL007861,219177,1238
AMU000001,240840,1108
opac001,240971,4
ABL001723,249982,65686
AAH001015,252547,257782
AMA002223,253745,34518
ADL000970,253948,1750
ADL001030,254278,66774
ADL001554,258010,130814
AAH005209,258107,1174
AMA013188,258109,1174
AMA003398,258145,1174
AMA013186,258146,1174
ACB007905,260910,1206
ACL005680,261896,74966
ACL006953,266795,218750
ACL007038,266899,198230
ACL007136,267078,197718
AKD001833,267926,75518
BCL001,273590,1050627
AHD004588,274930,130783
AMA016819,275467,1174
AMA008135,275540,1174
ABL004231,275692,1
AHD012759,276197,126686
AHD004789,276198,126686
ABL004374,277396,1
AMA008885,278050,1174
AMA008886,278051,1174
AMA017264,278902,1238
ABL004643,280198,1
ABL004644,280199,1
AAH003250,286274,173814
VEN00001,286672,1512638
VEN00002,286673,1512638
VEN00003,286675,1514687
ABL005233,286776,1
AMA010915,286815,1049620
ADL006328,287080,110294
ADL006352,287134,124630
ADL014327,287247,108246
ACB013801,290176,1686
AAH003620,291312,939258
ACB023028,291700,1238
AMA020193,291753,1174
AMA011986,291781,1174
AAH003674,292303,519894
APN008698,292500,1174
AMA012097,292508,218206
AMA012098,292509,36566
AKD005365,293203,75476
ACB016481,302305,18102
AMA019981,302897,1174
ACB017763,308240,1726
AAH004807,308749,131074
ADL010094,310215,7
AHD012016,321959,198
ABL008900,323818,2096895
ADL013686,325941,130774
ADL013691,325946,196806
ADL014110,327843,130814
ADL014112,327845,126718
ADL014392,329283,130806
AMA019420,329321,42691
ADL014472,329642,1179350
