itemnumber,barcode,isbn,biblionumber,title,author,datelastseen
13764,BL82105,,13463,"My Fair Lady(2 Disc)","Viewership Level Universal",2014-02-01
13793,BL80074,,13494,"Raining Stones",,2012-02-14
14116,BL82531,,13784,"The adventures of black beauty: Series one","COLE, SIDNEY",2014-01-22
14141,BL82051,,13807,"Middle March (2 Discs)","MARKS, LOUIS",2014-02-02
14411,BL82254,5014503148522,14071,"Wildlife Special: Tiger","Birkhead, Mike",2014-02-02
14430,BL82268,5039036003049,14089,"Thin Red Line","Geisler, Robert Michael",2014-01-25
14484,BL81207,,14142,"The Penguins' Story",,2013-12-18
14556,BL81308,,14215,"North & South (2 DVD)","Percival,Brain",2011-03-14
14606,BL81367,,14261,"To The Manor Born (2 Disc)  ","Rawnsley, Ian",2012-05-09
14643,BL82057,,14295,"Annie Get Your Gun","George Sidney",2014-02-02
14658,BL82042,,14307,"Coming To America","John Landis",2014-01-31
14676,BL82043,,14322,"Mutiny On The Bounty, 1 Disc ","Frank Lloyd",2014-02-02
14689,BL82120,,14334,"The Godfather","Francis Ford Coppola",2014-01-29
14693,BL82183,,14336,"Dinnerladies - Series 1","Geoff Posner",2014-02-01
14787,BL82195,,14427,"The Foreigner","Michael Oblowitz",2014-01-16
14806,BL82103,,14442,Concorde,"Robert Garofalo",2014-01-22
14812,BL82072,,14447,"Cats And Dogs","Bruno Corbucci",2014-01-02
14823,BL81586,,14456,"Alien vs Predator","Dean Semler",2014-01-10
14864,BL82112,,14495,"Walking With Dinosaurs. Disc 1, Disc 2","HAINES, TIM",2014-01-12
14881,BL82153,,14509,"Battle Of The Bulge","Ken Annakin",2014-01-28
14889,BL81667,,14517,"The Bachelor","Gary Sinyor",2014-01-10
14905,BL81694,,14532,"3 Ninjas Kick Back","Charles T. Kanganis",2014-02-02
15069,BL82326,,14682,"84 Charing Cross Road","Jones David Hugh",2014-01-07
15118,BL81926,,14729,"Pirates of Treasure Island","Scott Leigh",2014-01-10
15163,BL82000,,14773,"In My Father's Den","McGann Brad",2014-01-05
15170,BL82007,,14780,"The good Shepherd","De Niro Robert",2014-01-25
15175,BL82013,,14785,"The end of the Affair","Jordan Neil",2013-09-12
15191,BL82067,,14801,"Under Suspicion","Hopkins Stephen",2013-01-30
15195,BL82075,,14805,"Bell book and candle","Quine Richard",2014-01-28
15198,BL82087,5014138601102,14808,"Fiffis Frosty Morning",,2014-02-02
15222,BL82126,,14832,"Ocean's Eleven+Ocean's Twelve (2 disc)","Soderbergh Steven",2014-01-19
15228,BL82135,,14837,Network,"Lumet Sidney",2014-02-01
15229,BL82136,,14838,"Mrs Miniver","Wyler William",2014-02-02
15230,BL82138,,14839,"They Call Me Trinity/ Trinity Is Still My Name","Clucher E.B.",2014-01-29
15240,BL82177,,14849,"The goonies","Donner Richard",2013-06-30
15242,BL82187,,14851,"The wedding singer","Coraci Frank",2014-01-31
15245,BL82192,,14854,Scareface,"Hawks Howard",2014-01-05
15250,BL82210,,14859,"Wow vicky's weight off workout",,2014-01-17
15254,BL82217,,14863,"The Jane Austen Collection:Pride and Prejudice(2 disc)","Langton Simon",2014-02-01
15267,BL82233,,14874,"The Descent","Marshall Neil",2012-06-10
15272,BL82241,,14879,"The Adventures of Prince Achmed","Reiniger Lotte",2014-01-25
15276,BL82245,,14883,"Robin Hood Vol.3","McKay John,Standeven Richard",2014-01-02
15280,BL82249,,14887,"i capture the castle","Tim Fywell",2014-02-02
15283,BL82452,,14889,"Oliver Twist(2 disc)","Renny Rye",2014-01-30
15292,BL82270,,14898,"The Body In The Library","Wilson Andy",2014-01-31
15293,BL82271,,14899,"Bridge to english -Fairy Tale learning Part 3",,2014-02-02
15296,BL82274,,14902,"Dungeons and Dragons Vol. 4",,2014-02-01
15302,BL82311,,14907,"Detectives series 5(2 disc)",,2013-07-14
15308,BL82294,,14913,"Twelve o'clock high","King Henry",2014-01-18
15310,BL82296,,14915,"Shakespeare - A Critical Guide - Romeo And Juliet/Hamlet",,2014-01-05
15318,BL82306,,14923,"Blind flight","Furse John",2014-01-31
15321,BL82309,,14926,Millions,"Boyle Danny",2014-01-25
15327,BL82318,,14932,"It ain't half hot mum series 2","Bishop Phil",2014-01-17
15328,BL82319,,14933,"It ain't half hot mum series 4","Bishop Phil",2014-01-25
15339,BL82335,,14944,"Inside i'm Dancing","O'Donnell Damien",2014-01-30
15348,BL82015,,14952,"Attenborough in paradise and other personal voyages","Attenborough David",2014-01-16
15350,BL82343,,14954,"The warrior","Sung-su Kim",2013-03-09
15353,BL82345,,14957,"My family and other animals (2 Disc)","Peter Barber-Fleming",2014-01-29
15354,BL82347,,14958,"Love thy neighbour","John Robins",2014-02-01
15364,BL82359,,14968,"Spaced(3 disc)","Edgar Wright",2013-12-29
15367,BL82856,,14971,"The Remains of the Day (DVD)","Ivory, James",2014-01-22
15376,BL82361,,14980,"Born and bred Series 1(14 discs)","Edwards David Innes",2014-01-16
15389,BL82374,,14993,"Learn to play the piano and keyboard: a step-by-step guide",Parragon,2014-01-21
15392,BL82378,,14996,"You Rang M'Lord Series 3(2 disc)","Croft David",2014-01-30
15399,BL82386,,15003,"The benny hill annual 1976","Robins John",2014-01-16
15413,BL82880,,15017,"Atonement (DVD)","Wright, Joe",2014-01-19
15416,BL82819,,15020,"Kind Hearts and Coronets (DVD)","Hamer, Robert",2014-01-24
15420,BL82784,,15024,"The Long Good Friday (DVD)","Mackenzie, John",2014-01-23
15428,BL82810,,15032,"Blow Up (DVD)","Antonioni, Michaelangelo",2014-01-05
15431,BL82790,,15035,"Goodbye, Mr Chips (DVD)","Wood, Sam",2014-01-28
15437,BL82882,,15041,"The other Boleyn girl (DVD)","Chadwick, Justin",2014-01-03
15448,BL82404,,15052,"Magic School Bus, The - In The Haunted House And 3 Other Episodes (DVD)",,2014-01-05
15453,BL82410,5060002833551,15058,"Enduring Love (DVD)","Michell, Roger",2013-12-15
15484,BL82443,,15088,"Cranford (2 DVD)","Curtis, Simon",2014-01-30
15487,BL82446,,15091,"Magic Roundabout - The Greatest Show On Earth (DVD)","Ralph, Graham",2014-02-02
15504,BL82465,,15108,"Chicago (2 disc)","Rob Marshall",2014-01-11
15515,BL82477,,15119,"Campion - The Complete Series (Boxset) (4 DVD)",,2014-01-29
15520,BL82481,,15124,"Complete History Of Concorde, The (2 DVD)",,2014-01-29
15538,BL82501,,15142,"My Beautiful Laundrette (DVD)","Frears, Stephen",2014-01-30
15553,BL82517,,15157,"Waterland (DVD)","Gyllenhaal, Stephen",2014-01-29
15556,BL82520,,15160,"The Remains of the Day (DVD)","Ivory, James",2013-12-22
15561,BL82526,,15165,"The Baker,  (DVD)","Lewis, Gareth",2014-01-25
15562,BL82527,,15166,"Ladies Who Do, 1 Disc","Pennington-Richards, C.M.",2014-01-12
15564,BL82529,,15168,"Bloody Sunday (DVD)","Greengrass, Paul",2014-01-25
15565,BL82532,,15169,"Local Hero (DVD)","Forsyth, Bill",2014-01-24
15574,BL82543,,15178,"Local Hero (DVD)","Forsyth, Bill",2014-02-02
15581,BL82550,,15185,"Whisky Galore! (DVD)","Mackendrick, Alexander",2014-02-02
15589,BL82558,,15192,"Guarding the Queen (DVD)","Mitchell, Chris",2014-01-12
15598,BL82568,,15201,"Magic School Bus,The - All Dried Up And 3 Other Episodes (DVD)",,2014-01-18
15603,BL82573,,15206,"St.Trinian's [2007] (DVD)","Parker, Oliver",2014-01-19
15623,BL82593,,15226,"Top Gear - The Great Adventures (2 DVD) :Polar Special",,2013-12-27
15630,BL82600,,15233,"The Gentle Touch","Gascoine Jill",2014-02-01
15632,BL82088,,15235,"Sixth Happiness","Hussein Waris",2013-12-22
15635,BL82603,,15237,"Shoe People, The (DVD)","Driscoll, James",2014-01-19
15636,BL82604,,15238,"The Hitchhiker's Guide to the Galaxy","BELL J W ALLAN",2014-01-12
15637,BL82607,,15239,"Mindscape Of Alan Moore, The (DVD)","Vylenz, Dez",2013-12-14
15639,BL82609,,15241,"Death on the Nile (DVD)","Guillermin, John",2014-01-03
15652,BL82622,,15254,"Wind In The Willows - Summer (DVD)",,2014-02-02
15655,BL82625,,15257,"The Battleships (DVD)","McAuley, Rob",2014-01-12
15656,BL82626,,15258,"Diamonds Are Forever (2 Disc)","Guy Hamilton",2014-01-11
15661,BL82631,,15263,"Wondrous Oblivion (DVD)","Morrison, Paul",2013-12-31
15662,BL82632,,15264,"Dark Blue World (Tmavomodry svet) (DVD)","Sverak, Jan",2014-01-28
15663,BL82633,,15265,"The Closer You Get (DVD)","Ritchie, Aileen",2014-01-22
15670,BL82639,,15271,"The Deadly Afffair (DVD)","Lumet, Sidney",2013-12-28
15671,BL82640,,15272,"Millions (DVD)","Boyle, Danny",2014-01-16
15676,BL82645,,15277,"Being Julia (DVD)","Szabo, Istvan",2014-01-11
15687,BL82658,,15289,"The Cook, the Thief, His Wife & Her Lover (DVD)","Greenaway, Peter",2014-01-11
15704,BL82678,,15306,"The Debt Collector (DVD)","Neilson, Anthony",2014-02-01
15712,BL82685,,15314,"The Cement Garden (DVD)","Birkin, Andrew",2013-05-31
15717,BL82690,,15319,"Stage Beauty (DVD)","Eyre, Richard",2014-01-19
15718,BL82691,,15320,"Cromwell (DVD)","Hughes, Ken",2014-01-16
15719,BL82692,,15321,"Confessions of a Dangerous Mind (DVD)","Clooney, George",2014-01-23
15723,BL82697,,15325,"Classic Albums - John Lennon, Plastic Ono Band (DVD)",,2013-12-08
15725,BL82699,,15327,"Defence of the Realm (DVD)","Drury, David",2014-02-02
15730,BL82705,,15332,"Ae Fond Kissà. (DVD)","Loach, Ken",2014-02-02
15733,BL82708,,15335,"The Navigators (DVD)","Loach, Ken",2013-03-09
15737,BL82715,,15339,"Cassandra's Dream (dvd)","Allen, Woody",2014-02-02
15740,BL82720,,15342,"A Fish called wanda (DVD)","Crichton, Charles",2014-01-09
15756,BL82750,,15358,"Charlie wilson's war","Nichols, Mike",2013-11-29
15757,BL82751,,15359,"Henry V","Olivier, Laurence",2014-01-16
15782,BL82786,,15384,"Frenzy (DVD)","Hitchcock, Alfred",2014-01-28
15784,BL82878,,15386,"HMS The Defiant (Widescreen) (DVD)","Gilbert, Lewis",2014-01-31
15787,BL82832,,15389,"In The Name Of The Father (DVD)","Sheridan, Jim",2014-01-10
15789,BL82799,,15391,"Jamaica Inn (DVD)","Hitchcock, Alfred",2014-01-25
15809,BL82787,,15410,"Thirty Nine Steps (Special Edition) (DVD)","Hitchcock, Alfred",2014-01-19
15810,BL82841,,15411,"Topsy Turvy (DVD) (Widescreen)","Leigh, Mike",2013-12-28
15813,BL82835,,15414,"Aces High ( DVD )","Gold,Jack",2014-01-12
15815,BL82844,,15416,"After the Fox ( DVD )","Sica,Vittorio De",2014-01-18
15819,BL82863,,15420,"Beautiful Thing ( DVD )","Macdonald,Hettie",2014-01-12
15820,BL82848,,15421,"Becket ( DVD )","Glenville,Peter",2014-01-18
15822,BL82800,,15423,"Mamma Mia! ( DVD )","Lloyd,Phyllida",2013-07-27
15827,BL82791,,15428,"The African Queen (1 Disc) (652215)","Huston,John",2014-01-28
15833,BL82843,,15434,"The Blue Max (DVD) (673779)","Guillermin,John",2014-01-10
15834,BL82831,,15435,"The Boxer (DVD) ( 652396 )","Sheridan, Jim",2014-01-24
15835,BL82822,,15436,"The Wings of the Dove ( DVD )","Softley,Ian",2014-01-28
15836,BL82514,,15437,"Chinese Detective, The - Series 1&2 (Boxset) (5 DVD)",,2014-01-18
15838,BL82090,5017188885867,15439,IRIS,"Dench Judi",2014-01-25
15843,BL82257,,15444,"The world of henry orient","Sellers, Peter",2014-01-17
15847,BL82798,,15448,"Cold Mountain/The English Patient(2 DVDs)","Minghella Anthony",2014-01-16
15850,BL82885,,15450,"The life and death of Colonel Blimp/A Matter of life and death(2 disc)","Powell Micheal",2014-01-19
15851,BL82793,,15451,"Above US The Waves","Thomas Ralph",2014-01-31
15862,BL82886,,15462,"England's world cup magic","Dan Almond",2014-01-22
15863,BL82888,,15463,"England's 100 Greatest goals","Jebb Boothby",2014-02-02
15865,BL82890,,15465,"FIFA FEVER--Volume-II",,2014-01-19
15866,BL82891,,15466,"FIFA FEVER--Volume-I",,2013-12-31
15870,BL82954,,15470,"Bright Star","Campion, Jane",2014-02-02
15876,BL82960,,15476,"Cracks: Eva green","Scott, Jordan",2014-01-28
15886,BL82969,,15486,"An Education","Scherfig, Lone",2014-01-11
15887,BL82970,,15487,"Harry Brown","Barder, Daniel",2014-01-24
15889,BL82972,,15489,"the persuit of happyness: inspired by a true story","Muccino, Gabriele",2013-10-27
15897,BL82980,,15497,"Tom Cruise Valkyrie","Singer, Bryan",2014-01-02
15901,BL82984,,15501,"Imagine me & you","Parker, Ol",2014-01-19
15902,BL82985,,15502,"Angels & Demons","Howard, Ron",2014-01-17
15904,BL82987,,15504,"Wallace & Gromit","Park, Nick",2014-01-12
15906,BL82989,,15506,"Rise Of The Footsoldier","Gilbey, Julian",2014-01-25
15907,BL82990,,15507,Stuck,"Gordon, Stuart",2014-01-09
15908,BL82991,,15508,"Miami Vice","Mann, Michael",2014-01-30
15911,BL82994,,15511,Sleuth,"Branagh, Kenneth",2014-02-02
15912,BL83142,,15512,"Fish Tank, 1 Disc","Arnold, Andrea",2014-01-11
15913,BL82996,,15513,"The Hangover","Phillips, Todd",2014-01-19
15916,BL82999,,15516,"The Water Horse: Legend of the deep","Russel, Jay",2014-01-21
15921,BL83004,,15521,"United 93","Greengrass, Paul",2013-12-26
15927,BL83010,,15527,Atonement,"Wright, Joe",2014-01-23
15931,BL83014,,15531,Hostage,"Siri, Florent",2014-01-29
15935,BL83018,,15535,"Charlie and the Chocolate Factory","Burton, Tim",2014-01-18
15937,BL83020,,15537,"In Bruges, 1 Disc","McDonagh, Martin",2014-01-09
15938,BL83021,,15538,"The Other Boleyn Girl","Chadwick, Justin",2014-01-19
15940,BL83023,,15540,"Nanny McPhee","Jones, Kirk",2014-01-12
15950,BL83033,,15550,"Million Dollar Baby","Eastwood, Clint",2013-12-28
15953,BL83036,,15553,Defiance,"Zwick, Edward",2014-01-29
15957,BL83040,,15557,Coraline,"Selick, Henry",2013-12-01
15961,BL83044,,15561,"Get Smart","Segal, Peter",2014-01-05
15962,BL83045,,15562,Babel,"Gonzalez Inarritu, Alejandro",2014-02-02
15964,BL83047,,15564,Severance,"Smith, Christopher",2014-01-05
15970,BL83053,,15570,"Flushed Away","Bowers, david",2014-01-25
15974,BL83057,,15574,"The Secret of Moonacre","Csupo, Gabor",2013-11-09
15983,BL83066,,15583,"Lucky Number Slevin","McGuigan, Paul",2014-01-30
15991,BL83074,5039036029766,15591,"The History Boys","Hytner, Nicholas",2013-12-26
15995,BL83078,,15595,"then she found me","Hunt, Helen",2014-01-12
15998,BL83081,,15598,"Son Of Rambow","Jennings, Garth",2014-01-30
16000,BL83083,,15600,Doomsday,"Marshall, Neil",2013-05-04
16002,BL83086,,15602,Duchess,"Dabb, Saul",2014-01-18
16003,BL83087,,15603,"A Cock And Bull story","Winterbottom, Michael",2014-01-16
16004,BL83088,,15604,"Batman Begins","Nolan, Christopher",2013-10-27
16005,BL83089,5050582482416,15605,"the Holiday","Meyers, Nancy",2014-01-05
16006,BL83090,,15606,"Indiana Jones","Spielberg, Steven",2014-01-19
16012,BL83096,5014437943040,15612,"Iron man","Favreau, Jon",2014-01-29
16013,BL83097,,15613,"a good year","Scott, Ridley",2014-01-16
16014,BL83098,,15614,Stardust,"Vaughn, Matthew",2014-01-19
16018,BL82895,5050582556063,15618,Wanted,"Timur Bekmambetov",2014-02-02
16020,BL82897,5050630495436,15620,Spiderman,"Raimi, Sam",2013-12-31
16031,BL83022,5050582419870,15631,"The Constant Gardener","Caine, Jeffrey",2014-02-01
16035,BL82912,5050582508307,15635,"Bourne Ultimatum","Greengrass, Paul",2013-09-10
16036,BL82913,5039036038508,15636,Vegas,"Vaghan, Tom",2014-02-01
16037,BL82914,5039036026796,15637,Stay,"Forster, Marc",2014-01-30
16040,BL82917,5051892004275,15640,"Gran Torino","Eastwood, Clint",2014-01-15
16044,BL82921,5014437953544,15644,"Spiderwick Chronicles","Waters, Mark",2014-01-22
