itemnumber,barcode,isbn,biblionumber,title,author,datelastseen
13826,,,13524,"Love's Labour's Lost",,2011-03-14
14102,,,13774,"The titfield thunderbolt","TRUMAN, MICHAEL",2011-03-14
14151,BL80591,,13817,"Sherlock Holmes: the mazarin stone; the cardboard box","DAVIS, JUNE WYNDHAM",2011-03-14
14206,BL80739,,13873,"King Kong","Laurentiis, Dino De",2011-03-14
14402,BL82050,,14062,"The Office: The Complete First Series; Disc1, Disc2","Atalla, Ash",2013-09-01
14706,BL82159,,14345,"Agatha Christie: Poirot Collection 2 (4 Disc)",,2013-05-19
15088,,,14700,Excalibur,"Boorman John",2011-03-14
15174,BL82011,,14784,Apocalypto,"Gibson Mel",2013-06-29
15177,BL82018,,14787,"Being Julia","Szabo Istvan",2013-09-18
15211,BL82109,,14821,"Rulling Class","Madoc Peter",2013-03-16
15260,,,14869,"The british Transport Films Collection Vol.3: Running A Railway(2 disc)",,2011-03-14
15264,BL82718,,14871,"Hot Fuzz(2 disc)","Wright Edgar",2013-01-10
15288,BL82265,,14894,"Chef - Series 1","Birkin John",2013-08-24
15340,BL82337,,14945,"Shakespeare - Hamlet","Bennett Rodney",2012-09-14
15344,,,14949,"Free Cinema",,2011-03-14
15355,BL82350,,14959,"My family","Dewi Humphreys",2013-03-12
15360,BL82353,,14964,"He knew he was right (2 Disc)","Tom Vaughan",2013-10-05
15415,BL82826,,15019,"Great Expectations (DVD)/Oliver Twist","Lean, David",2013-10-18
15422,BL82812,,15026,"Whisky Galore! (DVD)","Mackendrick, Alexander",2013-09-26
15442,BL82881,,15046,"Pride & Prejudice (DVD)","Wright, Joe",2013-09-03
15446,BL82402,,15050,"Magic School Bus, The - Kicks Up A Storm And 3 Other Episodes (DVD)",,2013-08-08
15470,BL82428,,15074,"Run, Fat Boy, Run (DVD)","Schwimmer, David",2012-06-10
15482,BL82441,,15086,"Spooks - Complete Season 6 (Boxset) (5 DVD)","Madha, Omar",2013-02-01
15527,BL82490,,15131,"Maeve Binchy - The Collection (2 DVD) : Echoes","Rennie, Barbara",2013-04-30
15567,BL82534,5014503217129,15171,"Hotel Babylon - Series 1 (Boxset) (3 DVD)","Whittington, Paul",2013-01-05
15570,BL82538,,15174,"Happy-Go-Lucky (dvd)","Leigh, Mike",2013-10-05
15585,,,15189,"The Cruel Sea (DVD)","Frend, Charles",2011-03-14
15588,BL82821,,15191,"Darling (DVD)","Schlesinger, John",2013-05-04
15616,BL82586,,15219,"Love Soup - Series 1","Johnson, Sandy",2013-05-18
15645,BL82615,,15247,"In This World (DVD)","Winterbottom, Michael",2013-02-15
15654,BL82624,,15256,"Spot - Goes To The Farm (DVD)",,2013-05-01
