Item Type	Biblio Number	Barcode	Accession Date	Last Seen Date	Issue Date	Title	Author									
AB	444821	CH53958	2011-08-11	2011-11-09	2011-11-09	Prepare For IELTS 										
AB	444819	CH53961	2011-08-11	2012-09-11	2012-09-11	Grammar For IELTS										
AB	309651	CH64211	2013-04-28	2013-06-27	2013-06-27	Only fools and horses Vol. 1 (2 Disc Set)	Sullivan	 John								
AB	222686	ch64129	2013-04-28	2013-12-28	2013-12-28	The Essential Shakespeare Live Encore: The Royal Shakespeare Company in Performance (2 CD s)	The British Library									
AB	186004	CH64171	2013-04-28	2014-01-11	2014-01-11	Paths of glory	Archer	 Jeffrey								
AB	222702	CH64144	2013-04-28	2014-01-17	2014-01-17	Ultimate Confidence: The Secrets to Feeling Good About Yourself Each Day (3 CD s)	Marisa Peer									
AB	185966	ch64135	2013-04-28	2014-01-18	2014-01-18	The Jane Austen collection: Sense and Sensibility	 Pride and Prejudice	 Emma	 Northanger Abbey	 Persuasion and The Watsons (Unabridged)	Austen	 Jane				
BK	87623	CH6056	2011-04-03	2011-04-03	2010-09-04	A tale of two cities	Charles Dickens									
BK	85287	CH39770	2011-04-03	2011-04-03	2010-09-04	The God Of Small Things	Arundhati Roy									
BK	82205	CH46579	2011-04-03	2011-04-03	2010-09-07	Great Speeches of the 20th Century	The Guardian									
BK	86252	CH24136	2011-04-03	2011-04-03	2010-09-17	Creative Spaces for Kids										
BK	80467	CH35197	2011-04-03	2011-04-03	2010-09-17	101 Kitchens : Stylish Room Solutions	Julie Savill									
BK	88224	CH46999	2011-04-03	2011-04-03	2010-09-17	The best of Ruskin Bond										
BK	88661	CH52076	2011-04-03	2011-04-03	2010-09-18	Brilliant Numeracy Tests: Everything you need to know to pass numeracy tests	Rob Williams									
BK	85197	CH15693	2011-04-03	2011-04-03	2010-09-25	Lajja Shame										
BK	80737	CH34512	2011-04-03	2011-04-03	2010-09-25	Cook right for your type	Dr Peter J.D'Adamo									
BK	86804	CH36778	2011-04-03	2011-04-03	2010-09-25	You are what you eat: The meal Planner that will change your life	Carina Norris									
BK	84081	CH45439	2011-04-03	2011-04-03	2010-09-25	After Work Cook: Fantastic Food	 Minimum Fuss	Carina Cooper								
BK	85372	CH35785	2011-04-03	2011-04-03	2010-09-27	The oxford dictionary of proverbs	Jennifer Speake	 ed								
BK	86543	CH39429	2011-04-03	2011-04-03	2010-09-27	Aninconvenient Truth: The Planetary Emergency of Global Warming and What we can do about it	Al Gore									
BK	88563	CH44515	2011-04-03	2011-04-03	2010-09-28	The Seance	John Harwood									
BK	82315	CH23498	2011-04-03	2011-04-03	2010-10-06	Northanger Abbey										
BK	83691	CH49532	2011-04-03	2011-04-03	2010-10-06	Concepts in Thermal Physics	Stephen Blundell	 Katherine Blundell								
BK	81844	CH48041	2011-04-03	2011-04-03	2010-10-09	The Truth About Stress	Angela Patmore									
BK	91081	CH43502	2011-04-03	2011-04-03	2010-10-15	Happy for No Reason: 7 Steps to Being Happy from the Inside Out	Marci Shimoff	 Carol Kline								
BK	86685	CH12081	2011-04-03	2011-04-03	2010-10-18	Managing for results: Economic tasks and risk-taking decisions	Peter F Drucker									
BK	81394	CH48288	2011-04-03	2011-04-03	2010-10-18	The Art of Successful Business Communication	Patrick Forsyth	 Frances Kay								
BK	84849	CH29228	2011-04-03	2011-04-03	2010-10-20	Why can't I get what I want ?	Charles H Elliot									
BK	81756	CH35099	2011-04-03	2011-04-03	2010-10-26	The second Tom Holt omnibus	Tom Holt									
BK	82605	CH32088	2011-04-03	2011-04-03	2010-10-30	Judy Cox										
BK	88457	CH718	2011-04-03	2011-04-03	2010-11-03	Independent India : The first fifty years	Edited by Hiranmay Karlekar									
BK	83834	CH23138	2011-04-03	2011-04-03	2010-11-03	Secrets of the code : The unauthorized guide to the mysteries behind the Da Vinci Code	Edited by Dan Burstein									
BK	87847	CH22014	2011-04-03	2011-04-03	2010-11-04	Quiz book 1										
BK	89171	CH40128	2011-04-03	2011-04-03	2010-11-04	The Ultimate Quiz Challenge	Derek O'brien									
BK	90202	CH44525	2011-04-03	2011-04-03	2010-11-04	Another woman's Husband	Sarah Duncan.									
BK	80836	CH50536	2011-04-03	2011-04-03	2010-11-04	Devil May Care	Sebastian Faulks									
BK	80277	CH19870	2011-04-03	2011-04-03	2010-11-13	Hard Times										
BK	80769	CH50345	2011-04-03	2011-04-03	2010-11-13	Going Global: Key Questions for the 21st Century	Michael Moynagh	 Richard Worsley (Director of the Diploma in Humanistic Counselling	 Tile Hill College	 Coventry)						
BK	87748	CH16297	2011-04-03	2011-04-03	2010-11-15	Where there is no psychiatrist	Vikram Patel									
BK	79773	CH11948	2011-04-03	2011-04-03	2010-11-27	Leadership from within	Peter Urs Bender									
BK	79903	CH44363	2011-04-03	2011-04-03	2010-11-27	Time Management	Bird	 Polly								
BK	84131	CH44988	2011-04-03	2011-04-03	2010-11-27	Java: The Complete Reference	Herbert Schildt									
BK	83277	CH21746	2011-04-03	2011-04-03	2010-12-01	Fundamentals of Physics										
